Date,winner,loser,,
2006-03-04,Albany (NY),Maryland-Baltimore County,,
2006-03-05,Vermont,Binghamton,,
2006-03-05,Albany (NY),New Hampshire,,
2006-03-11,Albany (NY),Vermont,,
2007-01-03,Albany (NY),New Hampshire,,
2007-01-03,Maryland-Baltimore County,Binghamton,,
2007-01-03,Hartford,Maine,,
2007-01-03,Vermont,Stony Brook,,
2007-01-06,Binghamton,Albany (NY),,
2007-01-06,Hartford,Boston University,,
2007-01-06,New Hampshire,Maine,,
2007-01-06,Maryland-Baltimore County,Stony Brook,,
2007-01-09,Boston University,Maine,,
2007-01-09,Albany (NY),Maryland-Baltimore County,,
2007-01-09,Vermont,New Hampshire,,
2007-01-09,Stony Brook,Binghamton,,
2007-01-11,Albany (NY),Maine,,
2007-01-11,Boston University,Binghamton,,
2007-01-11,Vermont,Maryland-Baltimore County,,
2007-01-11,New Hampshire,Hartford,,
2007-01-13,Boston University,New Hampshire,,
2007-01-13,Hartford,Stony Brook,,
2007-01-13,Maine,Binghamton,,
2007-01-13,Vermont,Albany (NY),,
2007-01-15,Albany (NY),Stony Brook,,
2007-01-15,Binghamton,Hartford,,
2007-01-16,Maine,Maryland-Baltimore County,,
2007-01-18,New Hampshire,Binghamton,,
2007-01-18,Maryland-Baltimore County,Hartford,,
2007-01-18,Stony Brook,Boston University,,
2007-01-18,Maine,Vermont,,
2007-01-21,Albany (NY),Hartford,,
2007-01-21,Vermont,Binghamton,,
2007-01-21,Boston University,Maryland-Baltimore County,,
2007-01-21,New Hampshire,Stony Brook,,
2007-01-24,Albany (NY),Boston University,,
2007-01-25,Vermont,Hartford,,
2007-01-25,Maryland-Baltimore County,New Hampshire,,
2007-01-25,Maine,Stony Brook,,
2007-01-27,Maine,Hartford,,
2007-01-28,Maryland-Baltimore County,Binghamton,,
2007-01-28,Albany (NY),New Hampshire,,
2007-01-28,Vermont,Stony Brook,,
2007-01-31,Albany (NY),Maryland-Baltimore County,,
2007-01-31,Binghamton,Stony Brook,,
2007-01-31,Boston University,Maine,,
2007-01-31,Vermont,New Hampshire,,
2007-02-03,Albany (NY),Binghamton,,
2007-02-03,Boston University,Hartford,,
